Ricness,PD,AvTD,EDGE1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
87,14.2897911599999,11.0088490333334,97.1194105735453
56,10.78205758,8.02558305533333,61.7864755920099
22,4.942653225,5.38510914,22.7463002039231
19,4.0954588,4.13474531666667,20.1501299606156
27,5.41623225,5.94391537866667,30.1195749629838
7,0.83125224,1.1081121,8.62642666247346
7,1.84986367,2.52733425,10.186280649585
10,2.383301745,3.13346767,12.6270296999593
2,0.047853335,0.02780108,2.11146495070481
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
19,3.186437995,4.042945625,26.2740731354689
9,1.555392685,1.82330287,12.6577235002808
15,2.608862655,3.62648596666667,17.5581890865755
2,0.163549055,0.25837923,2.48262936953566
2,1.148772685,0.9150312,1.90368440041964
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33,7.54860124,7.50265671833333,35.2636796430985
16,2.21777460999991,2.46559112333343,16.4066960114697
2,0.8001037,1.07271527,1.50247327958387
143,56.0614047799999,84.7433815776667,162.588951324705
78,47.27109996,81.1169875958225,89.5826035712511
50,11.422083375,9.98148431533333,53.5107762624267
73,13.3458665449999,8.43336671900009,84.9356415854662
8,2.62314658,2.06911504,8.29629076035567
22,5.078151905,4.63640115,25.9008214252597
