Ricness,PD,AvTD,EDGE
1,0.12313004,0.20932813,1.06039782039397
1,0.442628985,0.61868143,0.86885107219387
11,2.669588625,3.37258262333333,10.6048439569399
4,0.49541865,0.64057705,3.64635716231654
29,7.33423668499991,7.34137138333342,29.9243796601267
0,0,0,0
5,0.702520019999907,0.883946330000092,5.49699112280331
23,5.307335815,3.44677148666667,28.0417741510373
0,0,0,0
0,0,0,0
0,0,0,0
87,14.2897911599999,11.0088490333334,96.51868301706
56,10.78205758,8.02558305533333,61.4167970957112
22,4.942653225,5.38510914,22.5383560497551
27,5.41623225,5.94391537866667,29.5650572185359
0,0,0,0
19,3.186437995,4.042945625,26.0892338873196
9,1.555392685,1.82330287,12.7501431243555
33,7.54860124,7.50265671833333,35.1943649250425
16,2.21777460999991,2.46559112333343,16.1756469512831
2,0.8001037,1.07271527,1.50247327958387
143,56.0614047799999,84.7433815776667,161.942013956182
78,47.27109996,81.1169875958225,89.4901839471764
50,11.422083375,9.98148431533333,53.2566222962214
73,13.3458665449999,8.43336671900009,84.7508023373169
8,2.62314658,2.06911504,8.48113000850499
34,6.18871522999991,7.54636164500009,40.3970134741504
11,0.716016615,0.900555893333333,13.7937014442368
2,0.232897325,0.27458626,2.57814600353146
8,1.167184875,1.05034865,11.1701871064624
31,3.30930591999991,3.37115225466676,32.487885174463
11,2.00788025,2.45513211333333,11.5426458620176
43,8.74022697499991,5.75185588500009,43.7121300945872
34,6.48774230999991,6.80578931600009,41.9308490698262
37,8.324400215,6.32209842533333,39.6495437710924
76,14.1369226899999,9.91026051333342,83.7082255009823
28,2.38238283,2.42561968333333,28.462904435016
24,4.477558805,4.27107952666667,25.4640155645269
12,2.472728485,3.17595871,11.842802064507
5,1.290263665,1.45591347,5.00699240537898
12,2.2067496,1.141379115,14.5388085384048
52,8.72556255499991,6.86848073000009,59.7823634709161
21,5.29046328,4.882060908,25.2082264615484
5,0.517788985,0.69085384,4.84706202125208
11,1.16605521,1.41286647333333,11.3752798787534
11,0.982421275,0.977945228333333,11.7275883479326
1,0.037017155,0.04484755,1.06715233525451
1,0.037017155,0.04484755,1.06715233525451
17,1.913731945,2.31091455866667,21.574019690999
22,5.31986971,6.81328487666666,26.1619464332266
6,0.807834115,0.99510333,5.6341630280723
31,4.05595826499991,4.47516387200009,39.4412470415566
14,4.038569395,4.28743256,16.1545653417018
29,7.04806765499991,7.25639152333342,30.272605677212
4,36.72077357,73.13626448,4.27384409401809
23,3.574150215,2.15157130333333,20.8535744487379
34,6.76844120999991,7.53968378333342,35.1714559860128
4,0.60665698,0.7365157,3.51038359791269
2,0.52854198,0.57162737,1.76654703010264
1,0.152279975,0.16723413,0.749604897281567
0,0,0,0
3,0.371423455,0.22456615,3.01152424855446
32,5.97464150999991,6.22700473800009,35.8245101420993
10,1.47719511,1.83604104,9.70635777643479
0,0,0,0
2,0.672283375,0.92281349,1.82292940209509
0,0,0,0
1,0.14259407,0.19048545,0.994798175312979
3,0.176015345,0.23404585,4.60296473640027
4,0.303335975,0.111647728333333,4.40954500343067
42,40.2607663149998,3.10205634033343,47.19432266719
40,4.45944922499982,3.29993086728582,42.7520680778095
2,0.395227965,0.65545114,2.09849919267419
1,0.007027025,0.01169717,1.21321504517585
20,2.606074835,3.24946124333333,21.4789040902918
31,6.02744167,4.91820003,34.0043830818709
11,1.888514915,2.56990333,10.2569737987217
3,0.77983184,1.22527138,3.0781494016792
1,0.05581575,0.08465155,0.825649844172095
63,9.50214756999991,6.14657979533342,65.200018386089
36,4.39408198499991,3.71238000733342,36.4398459581719
59,9.57505482000003,8.63644892404784,63.8639652043121
7,1.36435714,2.20151328,8.56757774326629
37,40.4612418699999,3.09387233690485,44.0671011440824
33,5.992493345,3.454787693,37.1125977567172
11,2.03085564,2.41923302,11.9254663949996
11,2.244772895,3.77357835,13.1199216804496
12,37.239505635,73.3725988933333,15.3060583594024
5,0.736458789999907,0.702276740000092,5.76842174141085
22,3.65803943,3.95140819833333,24.4812376425775
10,0.83354344,1.26032514,11.5050513271527
24,2.65405306,2.27382948,24.300103883936
75,14.452429935,9.99165722385714,82.1561612479996
20,4.24641997,4.09549733,20.598832888004
25,3.71761662,3.54631112166667,28.946917206039
11,1.45379678,1.96992607333333,12.3313743772024
21,5.284977335,4.45162147666667,23.8698608789445
19,3.57926102999991,4.37837482500009,19.438068047617
24,3.562994095,4.276199022,26.143129675888
11,1.273234195,2.050698482,13.115134833101
10,1.218782585,1.56947087666667,13.039582606238
11,38.14244927,74.89370869,12.4468307910402
15,1.27467334000001,1.40143541000007,17.9220891251046
0,0,0,0
0,0,0,0
34,4.12769892999991,3.86918162166676,35.4214004063549
26,3.19016790499991,3.37752279571438,30.0787438488226
62,42.4375351249999,76.6973109960477,65.8134311345369
13,1.062003895,1.208128434,13.0721763896956
14,3.31636137,4.48319862,13.3240954202637
2,36.331770225,72.95472772,4.51728767001631
1,0.003171985,0.0071175,1.39824131725868
2,0.13273445,0.15792957,2.33634282043141
0,0,0,0
19,3.04866800500001,3.24551499000008,21.071180083096
5,1.16620373500001,1.39226709000007,6.05102185545329
49,41.1473501849999,4.38985756178582,52.0046984722117
0,0,0,0
0,0,0,0
24,4.69105545,2.53372207,27.3935701076581
2,0.418182205,0.34860417,1.4998769960655
20,3.37290187,4.13863825833333,27.186473893385
5,0.65092754,0.63065596,5.25215075725661
12,1.585260625,2.17805898,16.1699637838161
15,1.33981599,1.45234227666667,15.0175789885266
63,41.2106606249999,3.82527707745247,67.110449787804
7,1.43724783,1.15577507,7.1230827856389
